,location,Abdala,COVIran_Barekat,CanSino,Covaxin,EpiVacCorona,Johnson_Johnson,Medigen,Moderna,Oxford_AstraZeneca,Pfizer_BioNTech,QazVac,Sinopharm_Beijing,Sinopharm_HayatVax,Sinopharm_Wuhan,Sinovac,Soberana02,Sputnik_V,ZF2001
189,Suriname,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,Sweden,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
191,Switzerland,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
192,Syria,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
193,Taiwan,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
194,Tajikistan,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
195,Tanzania,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
196,Thailand,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
197,Timor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
198,Togo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
199,Tokelau,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
200,Tonga,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
201,Trinidad and Tobago,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
202,Tunisia,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0
203,Turkey,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
204,Turkmenistan,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
205,Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
206,Tuvalu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
207,Uganda,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
208,Ukraine,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
209,United Arab Emirates,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
210,United Kingdom,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
211,United States,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
212,Uruguay,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
213,Uzbekistan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
214,Vanuatu,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
215,Venezuela,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
216,Vietnam,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0
217,Wales,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
218,Wallis and Futuna,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
219,Yemen,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
220,Zambia,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
221,Zimbabwe,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
