,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
74349,New Zealand,3570.0,50.0,58.571,26.0,,,734.471,10.287,12.05,5.349,,,1.61,,,,,16755.0,2984428.0,613.999,3.447,30573.0,6.29,0.002,522.0,tests performed,3502004.0,2290143.0,1211861.0,,84971.0,80178.0,72.05,47.12,24.93,,16495.0,96.3,4860642.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
74886,Nicaragua,11735.0,568.0,81.143,200.0,1.0,0.143,1750.871,84.746,12.107,29.84,0.149,0.021,0.02,,,,,,,,,,,,,,,,,,,3990.0,,,,,595.0,2.78,6702379.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66
75422,Niger,5849.0,6.0,10.143,199.0,1.0,0.429,232.742,0.239,0.404,7.919,0.04,0.017,1.12,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25130810.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394
75979,Nigeria,192431.0,626.0,598.286,2469.0,14.0,26.857,910.267,2.961,2.83,11.679,0.066,0.127,1.07,,,,,,,,,,,,,,4432282.0,2994933.0,1437349.0,,,42162.0,2.1,1.42,0.68,,199.0,54.63,211400704.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539
76623,North America,47085561.0,170819.0,195144.429,976606.0,2362.0,2246.0,78925.642,286.33,327.105,1637.004,3.959,3.765,,,,,,,,,,,,,,,561587819.0,320094780.0,252027567.0,677893.0,1640852.0,2245356.0,94.13,53.65,42.25,0.11,3764.0,,596581283.0,,,,,,,,,,,,,,
77182,North Macedonia,176494.0,870.0,868.857,5938.0,37.0,30.143,84744.469,417.735,417.186,2851.16,17.766,14.473,0.92,,,,,,,,,,,,,,1253612.0,722579.0,531033.0,,,9721.0,60.19,34.69,25.5,,4668.0,,2082661.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774
77956,Norway,160174.0,1785.0,1335.571,814.0,,0.429,29305.685,326.586,244.358,148.931,,0.078,1.38,,,,,31863.0,7164820.0,1310.887,5.83,28039.0,5.13,0.048,21.0,people tested,6961714.0,3869020.0,3092694.0,,54542.0,66200.0,127.37,70.79,56.58,,12112.0,38.89,5465629.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957
78547,Oceania,123253.0,1780.0,1572.0,1727.0,13.0,9.857,2851.761,41.185,36.372,39.958,0.301,0.228,,,,,,,,,,,,,,,24626872.0,15642584.0,8983112.0,,487238.0,379331.0,56.98,36.19,20.78,,8777.0,,43219954.0,,,,,,,,,,,,,,
79108,Oman,302300.0,61.0,104.286,4064.0,1.0,3.0,57874.447,11.678,19.965,778.041,0.191,0.574,0.72,,,,,,,,,,,,,,,,,,,52380.0,,,,,10028.0,64.81,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
79668,Pakistan,1163688.0,3569.0,3975.714,25889.0,101.0,95.571,5167.355,15.848,17.654,114.96,0.448,0.424,0.99,,,,,52112.0,17756332.0,78.847,0.231,59886.0,0.266,0.066,15.1,tests performed,56768446.0,43791885.0,17455249.0,,,1280906.0,25.21,19.45,7.75,,5688.0,62.96,225199929.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
